,date,year,month,hour,bikes_used,bike_used,year_month
0,2020-05-01T00:00:00,2020,5,00,0,9.0,2020-5
1,2020-05-01T01:00:00,2020,5,01,0,0.0,2020-5
2,2020-05-01T02:00:00,2020,5,02,0,4.0,2020-5
3,2020-05-01T03:00:00,2020,5,03,0,1.0,2020-5
4,2020-05-01T04:00:00,2020,5,04,0,4.0,2020-5
5,2020-05-01T05:00:00,2020,5,05,0,10.0,2020-5
6,2020-05-01T06:00:00,2020,5,06,0,34.0,2020-5
7,2020-05-01T07:00:00,2020,5,07,0,78.0,2020-5
8,2020-05-01T08:00:00,2020,5,08,0,70.0,2020-5
9,2020-05-01T09:00:00,2020,5,09,0,33.0,2020-5
10,2020-05-01T10:00:00,2020,5,10,0,64.0,2020-5
11,2020-05-01T11:00:00,2020,5,11,0,114.0,2020-5
12,2020-05-01T12:00:00,2020,5,12,0,186.0,2020-5
13,2020-05-01T13:00:00,2020,5,13,0,241.0,2020-5
14,2020-05-01T14:00:00,2020,5,14,0,254.0,2020-5
15,2020-05-01T15:00:00,2020,5,15,0,289.0,2020-5
16,2020-05-01T16:00:00,2020,5,16,0,343.0,2020-5
17,2020-05-01T17:00:00,2020,5,17,0,403.0,2020-5
18,2020-05-01T18:00:00,2020,5,18,0,369.0,2020-5
19,2020-05-01T19:00:00,2020,5,19,0,320.0,2020-5
20,2020-05-01T20:00:00,2020,5,20,0,150.0,2020-5
21,2020-05-01T21:00:00,2020,5,21,0,92.0,2020-5
22,2020-05-01T22:00:00,2020,5,22,0,67.0,2020-5
23,2020-05-01T23:00:00,2020,5,23,0,48.0,2020-5
24,2020-05-02T00:00:00,2020,5,00,0,35.0,2020-5
25,2020-05-02T01:00:00,2020,5,01,0,28.0,2020-5
26,2020-05-02T02:00:00,2020,5,02,0,22.0,2020-5
27,2020-05-02T03:00:00,2020,5,03,0,19.0,2020-5
28,2020-05-02T04:00:00,2020,5,04,0,16.0,2020-5
29,2020-05-02T05:00:00,2020,5,05,0,29.0,2020-5
30,2020-05-02T06:00:00,2020,5,06,0,45.0,2020-5
31,2020-05-02T07:00:00,2020,5,07,0,79.0,2020-5
32,2020-05-02T08:00:00,2020,5,08,0,114.0,2020-5
33,2020-05-02T09:00:00,2020,5,09,0,207.0,2020-5
34,2020-05-02T10:00:00,2020,5,10,0,405.0,2020-5
35,2020-05-02T11:00:00,2020,5,11,0,850.0,2020-5
36,2020-05-02T12:00:00,2020,5,12,0,970.0,2020-5
37,2020-05-02T13:00:00,2020,5,13,0,1084.0,2020-5
38,2020-05-02T14:00:00,2020,5,14,0,1323.0,2020-5
39,2020-05-02T15:00:00,2020,5,15,0,1421.0,2020-5
40,2020-05-02T16:00:00,2020,5,16,0,1256.0,2020-5
41,2020-05-02T17:00:00,2020,5,17,0,1093.0,2020-5
42,2020-05-02T18:00:00,2020,5,18,0,852.0,2020-5
43,2020-05-02T19:00:00,2020,5,19,0,552.0,2020-5
44,2020-05-02T20:00:00,2020,5,20,0,279.0,2020-5
45,2020-05-02T21:00:00,2020,5,21,0,158.0,2020-5
46,2020-05-02T22:00:00,2020,5,22,0,111.0,2020-5
47,2020-05-02T23:00:00,2020,5,23,0,110.0,2020-5
48,2020-05-03T00:00:00,2020,5,00,0,68.0,2020-5
49,2020-05-03T01:00:00,2020,5,01,0,62.0,2020-5
50,2020-05-03T02:00:00,2020,5,02,0,61.0,2020-5
51,2020-05-03T03:00:00,2020,5,03,0,53.0,2020-5
52,2020-05-03T04:00:00,2020,5,04,0,53.0,2020-5
53,2020-05-03T05:00:00,2020,5,05,0,57.0,2020-5
54,2020-05-03T06:00:00,2020,5,06,0,85.0,2020-5
55,2020-05-03T07:00:00,2020,5,07,0,117.0,2020-5
56,2020-05-03T08:00:00,2020,5,08,0,137.0,2020-5
57,2020-05-03T09:00:00,2020,5,09,0,214.0,2020-5
58,2020-05-03T10:00:00,2020,5,10,0,190.0,2020-5
59,2020-05-03T11:00:00,2020,5,11,0,137.0,2020-5
60,2020-05-03T12:00:00,2020,5,12,0,216.0,2020-5
61,2020-05-03T13:00:00,2020,5,13,0,288.0,2020-5
62,2020-05-03T14:00:00,2020,5,14,0,420.0,2020-5
63,2020-05-03T15:00:00,2020,5,15,0,632.0,2020-5
64,2020-05-03T16:00:00,2020,5,16,0,625.0,2020-5
65,2020-05-03T17:00:00,2020,5,17,0,542.0,2020-5
66,2020-05-03T18:00:00,2020,5,18,0,439.0,2020-5
67,2020-05-03T19:00:00,2020,5,19,0,257.0,2020-5
68,2020-05-03T20:00:00,2020,5,20,0,155.0,2020-5
69,2020-05-03T21:00:00,2020,5,21,0,76.0,2020-5
70,2020-05-03T22:00:00,2020,5,22,0,45.0,2020-5
71,2020-05-03T23:00:00,2020,5,23,0,44.0,2020-5
72,2020-05-04T00:00:00,2020,5,00,0,32.0,2020-5
73,2020-05-04T01:00:00,2020,5,01,0,33.0,2020-5
74,2020-05-04T02:00:00,2020,5,02,0,34.0,2020-5
75,2020-05-04T03:00:00,2020,5,03,0,36.0,2020-5
76,2020-05-04T04:00:00,2020,5,04,0,34.0,2020-5
77,2020-05-04T05:00:00,2020,5,05,0,54.0,2020-5
78,2020-05-04T06:00:00,2020,5,06,0,87.0,2020-5
79,2020-05-04T07:00:00,2020,5,07,0,128.0,2020-5
80,2020-05-04T08:00:00,2020,5,08,0,142.0,2020-5
81,2020-05-04T09:00:00,2020,5,09,0,122.0,2020-5
82,2020-05-04T10:00:00,2020,5,10,0,144.0,2020-5
83,2020-05-04T11:00:00,2020,5,11,0,191.0,2020-5
84,2020-05-04T12:00:00,2020,5,12,0,272.0,2020-5
85,2020-05-04T13:00:00,2020,5,13,0,245.0,2020-5
86,2020-05-04T14:00:00,2020,5,14,0,320.0,2020-5
87,2020-05-04T15:00:00,2020,5,15,0,376.0,2020-5
88,2020-05-04T16:00:00,2020,5,16,0,440.0,2020-5
89,2020-05-04T17:00:00,2020,5,17,0,588.0,2020-5
90,2020-05-04T18:00:00,2020,5,18,0,598.0,2020-5
91,2020-05-04T19:00:00,2020,5,19,0,430.0,2020-5
92,2020-05-04T20:00:00,2020,5,20,0,201.0,2020-5
93,2020-05-04T21:00:00,2020,5,21,0,93.0,2020-5
94,2020-05-04T22:00:00,2020,5,22,0,84.0,2020-5
95,2020-05-04T23:00:00,2020,5,23,0,55.0,2020-5
96,2020-05-05T00:00:00,2020,5,00,0,42.0,2020-5
97,2020-05-05T01:00:00,2020,5,01,0,33.0,2020-5
98,2020-05-05T02:00:00,2020,5,02,0,33.0,2020-5
99,2020-05-05T03:00:00,2020,5,03,0,34.0,2020-5
