,dteday,yr,mnth,weekday,aqi_label,aqi_reading
0,2011-01-01,2011,1,5,3,111
1,2011-01-02,2011,1,6,1,46
2,2011-01-03,2011,1,0,1,39
3,2011-01-04,2011,1,1,2,70
4,2011-01-05,2011,1,2,2,57
5,2011-01-06,2011,1,3,2,76
6,2011-01-07,2011,1,4,2,70
7,2011-01-08,2011,1,5,2,66
8,2011-01-09,2011,1,6,2,51
9,2011-01-10,2011,1,0,2,62
10,2011-01-11,2011,1,1,2,71
11,2011-01-12,2011,1,2,2,60
12,2011-01-13,2011,1,3,1,38
13,2011-01-14,2011,1,4,2,60
14,2011-01-15,2011,1,5,2,80
15,2011-01-16,2011,1,6,2,59
16,2011-01-17,2011,1,0,2,63
17,2011-01-18,2011,1,1,2,59
18,2011-01-19,2011,1,2,2,68
19,2011-01-20,2011,1,3,2,52
20,2011-01-21,2011,1,4,2,52
21,2011-01-22,2011,1,5,2,57
22,2011-01-23,2011,1,6,2,69
23,2011-01-24,2011,1,0,2,69
24,2011-01-25,2011,1,1,2,84
25,2011-01-26,2011,1,2,2,94
26,2011-01-27,2011,1,3,2,64
27,2011-01-28,2011,1,4,2,80
28,2011-01-29,2011,1,5,2,64
29,2011-01-30,2011,1,6,2,84
30,2011-01-31,2011,1,0,2,67
31,2011-02-01,2011,2,1,2,74
32,2011-02-02,2011,2,2,1,50
33,2011-02-03,2011,2,3,1,39
34,2011-02-04,2011,2,4,2,61
35,2011-02-05,2011,2,5,1,49
36,2011-02-06,2011,2,6,2,59
37,2011-02-07,2011,2,0,2,87
38,2011-02-08,2011,2,1,1,50
39,2011-02-09,2011,2,2,1,41
40,2011-02-10,2011,2,3,2,60
41,2011-02-11,2011,2,4,2,73
42,2011-02-12,2011,2,5,2,64
43,2011-02-13,2011,2,6,2,51
44,2011-02-14,2011,2,0,1,46
45,2011-02-15,2011,2,1,1,43
46,2011-02-16,2011,2,2,2,54
47,2011-02-17,2011,2,3,2,77
48,2011-02-18,2011,2,4,2,62
49,2011-02-19,2011,2,5,4,162
50,2011-02-20,2011,2,6,1,42
51,2011-02-21,2011,2,0,1,46
52,2011-02-22,2011,2,1,1,43
53,2011-02-23,2011,2,2,2,81
54,2011-02-24,2011,2,3,2,76
55,2011-02-25,2011,2,4,2,62
56,2011-02-26,2011,2,5,1,47
57,2011-02-27,2011,2,6,2,58
58,2011-02-28,2011,2,0,2,58
59,2011-03-01,2011,3,1,1,48
60,2011-03-02,2011,3,2,1,49
61,2011-03-03,2011,3,3,2,93
62,2011-03-04,2011,3,4,1,42
63,2011-03-05,2011,3,5,1,42
64,2011-03-06,2011,3,6,1,38
65,2011-03-07,2011,3,0,1,42
66,2011-03-08,2011,3,1,1,46
67,2011-03-09,2011,3,2,1,38
68,2011-03-10,2011,3,3,1,38
69,2011-03-11,2011,3,4,1,37
70,2011-03-12,2011,3,5,2,55
71,2011-03-13,2011,3,6,1,48
72,2011-03-14,2011,3,0,2,52
73,2011-03-15,2011,3,1,2,53
74,2011-03-16,2011,3,2,2,54
75,2011-03-17,2011,3,3,2,61
76,2011-03-18,2011,3,4,2,55
77,2011-03-19,2011,3,5,1,44
78,2011-03-20,2011,3,6,1,47
79,2011-03-21,2011,3,0,2,66
80,2011-03-22,2011,3,1,2,60
81,2011-03-23,2011,3,2,2,54
82,2011-03-24,2011,3,3,1,40
83,2011-03-25,2011,3,4,1,41
84,2011-03-26,2011,3,5,1,48
85,2011-03-27,2011,3,6,1,46
86,2011-03-28,2011,3,0,1,45
87,2011-03-29,2011,3,1,1,48
88,2011-03-30,2011,3,2,2,54
89,2011-03-31,2011,3,3,2,52
90,2011-04-01,2011,4,4,2,60
91,2011-04-02,2011,4,5,2,75
92,2011-04-03,2011,4,6,2,60
93,2011-04-04,2011,4,0,2,80
94,2011-04-05,2011,4,1,1,39
95,2011-04-06,2011,4,2,2,54
96,2011-04-07,2011,4,3,2,73
97,2011-04-08,2011,4,4,2,60
98,2011-04-09,2011,4,5,2,53
99,2011-04-10,2011,4,6,2,56
100,2011-04-11,2011,4,0,2,60
101,2011-04-12,2011,4,1,1,42
102,2011-04-13,2011,4,2,1,41
103,2011-04-14,2011,4,3,2,67
104,2011-04-15,2011,4,4,2,64
105,2011-04-16,2011,4,5,1,46
106,2011-04-17,2011,4,6,2,51
107,2011-04-18,2011,4,0,2,87
108,2011-04-19,2011,4,1,2,74
109,2011-04-20,2011,4,2,2,74
110,2011-04-21,2011,4,3,2,51
111,2011-04-22,2011,4,4,1,44
112,2011-04-23,2011,4,5,1,46
113,2011-04-24,2011,4,6,2,55
114,2011-04-25,2011,4,0,2,67
115,2011-04-26,2011,4,1,1,50
116,2011-04-27,2011,4,2,1,43
117,2011-04-28,2011,4,3,2,51
118,2011-04-29,2011,4,4,1,47
119,2011-04-30,2011,4,5,1,44
120,2011-05-01,2011,5,6,2,51
121,2011-05-02,2011,5,0,2,71
122,2011-05-03,2011,5,1,2,64
123,2011-05-04,2011,5,2,1,36
124,2011-05-05,2011,5,3,2,51
125,2011-05-06,2011,5,4,2,90
126,2011-05-07,2011,5,5,2,64
127,2011-05-08,2011,5,6,2,64
128,2011-05-09,2011,5,0,2,54
129,2011-05-10,2011,5,1,2,61
130,2011-05-11,2011,5,2,2,90
131,2011-05-12,2011,5,3,2,71
132,2011-05-13,2011,5,4,2,67
133,2011-05-14,2011,5,5,2,53
134,2011-05-15,2011,5,6,2,53
135,2011-05-16,2011,5,0,2,61
136,2011-05-17,2011,5,1,2,51
137,2011-05-18,2011,5,2,1,44
138,2011-05-19,2011,5,3,1,44
139,2011-05-20,2011,5,4,2,58
140,2011-05-21,2011,5,5,2,67
141,2011-05-22,2011,5,6,2,67
142,2011-05-23,2011,5,0,2,71
143,2011-05-24,2011,5,1,2,64
144,2011-05-25,2011,5,2,3,115
145,2011-05-26,2011,5,3,3,119
146,2011-05-27,2011,5,4,2,71
147,2011-05-28,2011,5,5,1,48
148,2011-05-29,2011,5,6,2,65
149,2011-05-30,2011,5,0,3,119
150,2011-05-31,2011,5,1,4,177
151,2011-06-01,2011,6,2,4,166
152,2011-06-02,2011,6,3,3,122
153,2011-06-03,2011,6,4,2,77
154,2011-06-04,2011,6,5,3,108
155,2011-06-05,2011,6,6,2,97
156,2011-06-06,2011,6,0,3,115
157,2011-06-07,2011,6,1,4,159
158,2011-06-08,2011,6,2,5,209
159,2011-06-09,2011,6,3,5,201
160,2011-06-10,2011,6,4,4,187
161,2011-06-11,2011,6,5,3,108
162,2011-06-12,2011,6,6,2,84
163,2011-06-13,2011,6,0,2,51
164,2011-06-14,2011,6,1,1,49
165,2011-06-15,2011,6,2,2,64
166,2011-06-16,2011,6,3,2,58
167,2011-06-17,2011,6,4,2,90
168,2011-06-18,2011,6,5,3,119
169,2011-06-19,2011,6,6,2,100
170,2011-06-20,2011,6,0,2,80
171,2011-06-21,2011,6,1,2,100
172,2011-06-22,2011,6,2,2,97
173,2011-06-23,2011,6,3,2,74
174,2011-06-24,2011,6,4,2,84
175,2011-06-25,2011,6,5,2,51
176,2011-06-26,2011,6,6,2,59
177,2011-06-27,2011,6,0,2,70
178,2011-06-28,2011,6,1,3,119
179,2011-06-29,2011,6,2,3,115
180,2011-06-30,2011,6,3,3,115
181,2011-07-01,2011,7,4,3,136
182,2011-07-02,2011,7,5,5,202
183,2011-07-03,2011,7,6,3,147
184,2011-07-04,2011,7,0,3,101
185,2011-07-05,2011,7,1,4,182
186,2011-07-06,2011,7,2,4,161
187,2011-07-07,2011,7,3,4,172
188,2011-07-08,2011,7,4,2,67
189,2011-07-09,2011,7,5,2,87
190,2011-07-10,2011,7,6,3,112
191,2011-07-11,2011,7,0,3,115
192,2011-07-12,2011,7,1,3,129
193,2011-07-13,2011,7,2,2,97
194,2011-07-14,2011,7,3,2,71
195,2011-07-15,2011,7,4,2,100
196,2011-07-16,2011,7,5,2,67
197,2011-07-17,2011,7,6,2,71
198,2011-07-18,2011,7,0,4,156
199,2011-07-19,2011,7,1,3,119
200,2011-07-20,2011,7,2,4,151
201,2011-07-21,2011,7,3,3,143
202,2011-07-22,2011,7,4,4,179
203,2011-07-23,2011,7,5,4,164
204,2011-07-24,2011,7,6,3,101
205,2011-07-25,2011,7,0,2,84
206,2011-07-26,2011,7,1,3,126
207,2011-07-27,2011,7,2,2,90
208,2011-07-28,2011,7,3,3,129
209,2011-07-29,2011,7,4,4,156
210,2011-07-30,2011,7,5,3,105
211,2011-07-31,2011,7,6,3,126
212,2011-08-01,2011,8,0,4,172
213,2011-08-02,2011,8,1,2,97
214,2011-08-03,2011,8,2,2,69
215,2011-08-04,2011,8,3,2,77
216,2011-08-05,2011,8,4,2,67
217,2011-08-06,2011,8,5,2,54
218,2011-08-07,2011,8,6,2,67
219,2011-08-08,2011,8,0,3,108
220,2011-08-09,2011,8,1,2,80
221,2011-08-10,2011,8,2,2,90
222,2011-08-11,2011,8,3,2,80
223,2011-08-12,2011,8,4,3,119
224,2011-08-13,2011,8,5,2,71
225,2011-08-14,2011,8,6,2,58
226,2011-08-15,2011,8,0,2,51
227,2011-08-16,2011,8,1,2,55
228,2011-08-17,2011,8,2,2,80
229,2011-08-18,2011,8,3,3,115
230,2011-08-19,2011,8,4,3,105
231,2011-08-20,2011,8,5,3,112
232,2011-08-21,2011,8,6,2,64
233,2011-08-22,2011,8,0,1,44
234,2011-08-23,2011,8,1,2,54
235,2011-08-24,2011,8,2,2,71
236,2011-08-25,2011,8,3,2,54
237,2011-08-26,2011,8,4,2,100
238,2011-08-27,2011,8,5,2,51
239,2011-08-28,2011,8,6,1,50
240,2011-08-29,2011,8,0,1,39
241,2011-08-30,2011,8,1,2,67
242,2011-08-31,2011,8,2,3,108
243,2011-09-01,2011,9,3,2,93
244,2011-09-02,2011,9,4,2,73
245,2011-09-03,2011,9,5,3,108
246,2011-09-04,2011,9,6,2,83
247,2011-09-05,2011,9,0,2,57
248,2011-09-06,2011,9,1,1,39
249,2011-09-07,2011,9,2,1,26
250,2011-09-08,2011,9,3,1,35
251,2011-09-09,2011,9,4,1,35
252,2011-09-10,2011,9,5,2,54
253,2011-09-11,2011,9,6,2,61
254,2011-09-12,2011,9,0,2,74
255,2011-09-13,2011,9,1,2,93
256,2011-09-14,2011,9,2,2,90
257,2011-09-15,2011,9,3,1,48
258,2011-09-16,2011,9,4,1,30
259,2011-09-17,2011,9,5,1,35
260,2011-09-18,2011,9,6,1,35
261,2011-09-19,2011,9,0,1,35
262,2011-09-20,2011,9,1,1,49
263,2011-09-21,2011,9,2,2,52
264,2011-09-22,2011,9,3,1,44
265,2011-09-23,2011,9,4,1,38
266,2011-09-24,2011,9,5,1,44
267,2011-09-25,2011,9,6,2,58
268,2011-09-26,2011,9,0,1,48
269,2011-09-27,2011,9,1,1,45
270,2011-09-28,2011,9,2,1,49
271,2011-09-29,2011,9,3,2,55
272,2011-09-30,2011,9,4,1,47
273,2011-10-01,2011,10,5,1,22
274,2011-10-02,2011,10,6,1,24
275,2011-10-03,2011,10,0,1,23
276,2011-10-04,2011,10,1,1,29
277,2011-10-05,2011,10,2,2,52
278,2011-10-06,2011,10,3,1,40
279,2011-10-07,2011,10,4,2,53
280,2011-10-08,2011,10,5,2,59
281,2011-10-09,2011,10,6,2,61
282,2011-10-10,2011,10,0,2,69
283,2011-10-11,2011,10,1,2,67
284,2011-10-12,2011,10,2,1,39
285,2011-10-13,2011,10,3,2,51
286,2011-10-14,2011,10,4,1,35
287,2011-10-15,2011,10,5,1,38
288,2011-10-16,2011,10,6,2,58
289,2011-10-17,2011,10,0,1,43
290,2011-10-18,2011,10,1,2,55
291,2011-10-19,2011,10,2,1,45
292,2011-10-20,2011,10,3,1,27
293,2011-10-21,2011,10,4,1,25
294,2011-10-22,2011,10,5,1,49
295,2011-10-23,2011,10,6,2,66
296,2011-10-24,2011,10,0,2,60
297,2011-10-25,2011,10,1,1,46
298,2011-10-26,2011,10,2,2,57
299,2011-10-27,2011,10,3,2,59
300,2011-10-28,2011,10,4,1,30
301,2011-10-29,2011,10,5,1,27
302,2011-10-30,2011,10,6,1,44
303,2011-10-31,2011,10,0,2,70
304,2011-11-01,2011,11,1,2,57
305,2011-11-02,2011,11,2,2,68
306,2011-11-03,2011,11,3,2,61
307,2011-11-04,2011,11,4,2,53
308,2011-11-05,2011,11,5,1,37
309,2011-11-06,2011,11,6,2,55
310,2011-11-07,2011,11,0,2,80
311,2011-11-08,2011,11,1,2,73
312,2011-11-09,2011,11,2,2,80
313,2011-11-10,2011,11,3,2,56
314,2011-11-11,2011,11,4,1,41
315,2011-11-12,2011,11,5,2,53
316,2011-11-13,2011,11,6,2,56
317,2011-11-14,2011,11,0,1,48
318,2011-11-15,2011,11,1,1,47
319,2011-11-16,2011,11,2,1,45
320,2011-11-17,2011,11,3,1,33
321,2011-11-18,2011,11,4,1,45
322,2011-11-19,2011,11,5,2,53
323,2011-11-20,2011,11,6,2,54
324,2011-11-21,2011,11,0,2,66
325,2011-11-22,2011,11,1,1,43
326,2011-11-23,2011,11,2,1,32
327,2011-11-24,2011,11,3,1,37
328,2011-11-25,2011,11,4,2,53
329,2011-11-26,2011,11,5,2,73
330,2011-11-27,2011,11,6,2,63
331,2011-11-28,2011,11,0,1,46
332,2011-11-29,2011,11,1,1,46
333,2011-11-30,2011,11,2,1,27
334,2011-12-01,2011,12,3,1,42
335,2011-12-02,2011,12,4,2,60
336,2011-12-03,2011,12,5,2,69
337,2011-12-04,2011,12,6,2,67
338,2011-12-05,2011,12,0,2,76
