OBJECTID,SSRSEGID,SOURCESEGID,SOURCEID,QUADCODE,ROADTYPE,STREETID,SEGMENTTYPE,FROMNODEID,TONODEID,STARTMEASURE,ENDMEASURE,LIFECYCLESTATUS,DIRECTIONALITY,OWNERSHIP,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFT,TOADDRESSLEFT,FROMADDRESSRIGHT,TOADDRESSRIGHT,DESCRIPTION,INSERVICEDATE,OUTOFSERVICE,UPDATETIME,FROMGRADE,TOGRADE,HPMSID,AADT2011,SOURCE11,SHAPELEN
48,130,10254,10030450,1,1,100030,2,16330,18871,0,65.8626211,1,2,1,3RD,ST,NW,4700,4798,4701,4799, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,XXXXXXX,0, ,65.862628323565
49,30,83,10010240,1,1,100010,2,14575,14576,0,118.58033593,1,2,1,1ST,ST,NW,2400,2510,2401,2511, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,4325,0, ,118.580335738426
50,31,84,10010230,1,1,100010,2,14577,14575,0,119.22011691,1,2,1,1ST,ST,NW,2300,2398,2301,2399, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,4325,0, ,119.220116802788
51,32,10744,10010220,1,1,100010,2,18923,14577,0,117.13002281,1,2,1,1ST,ST,NW,2200,2298,2201,2299, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,4325,0, ,117.130006676499
52,7,869,10010076,1,1,100010,2,682,569,0,41.27206366,1,2,1,1ST,ST,NW,700,798,701,799, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,1001017B,0, ,41.2721128590197
53,15,7351,10010170,1,1,100010,2,17324,15883,0,82.0203776,1,2,1,1ST,ST,NW,1700,1718,1701,1721, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,5106,0, ,82.0203774266557
54,19,8399,10010150,1,1,100010,2,19636,21863,0,82.15083109,1,2,1,1ST,ST,NW,1500,1524,1501,1525, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,5106,0, ,82.1508145753961
55,23,10395,10010540,1,1,100010,2,19815,20876,0,108.33113421,1,2,1,1ST,ST,NW,5400,5498,5401,5499, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,XXXXXXX,0, ,108.331118153326
56,26,876,10010500,1,1,100010,2,18637,22102,0,192.92513288,1,0,1,1ST,ST,NW,5000,5098,5001,5099, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,XXXXXXX,0, ,192.925131497626
57,29,11579,10010250,1,1,100010,2,14576,17501,0,433.76101899,1,2,1,1ST,ST,NW,2512,2998,2513,2999, ,2005/11/01 00:00:00+00,1970/01/01 00:00:00+00,2011/03/23 00:00:00+00,0,0,4325,0, ,433.761018939444
